Trial,L_pred,L_inv,L_latent,L_pad,L_boundary,λ_forward,λ_inverse,λ_latent,λ_pad,λ_boundary,n_layer,lr,wd,gamma,overall_score
17,0.1058820188045501,0.0111073032021522,0.0762647911906242,0.006939104758203,0.113607034087181,0.0947406266304471,5.922352817287077,0.361981482639757,0.7615230844297859,0.5429247359651748,4,0.0018288405571217,1.5933675685285177e-05,0.9561241676534832,1.282779244246266
39,0.202924445271492,0.0142010264098644,0.0812504440546035,0.0035453792661428,0.0725246146321296,0.0132901780214828,5.999932442301109,0.3038928111080756,3.388064275832111,6.3481677247949415,6,0.0029831767677748,2.2480679843194437e-06,0.9731841922319218,1.5205250835382846
45,0.0712575614452362,0.016113830730319,0.0734563395380973,0.0072482288815081,0.1111698374152183,4.683579495772815,2.346344381183016,1.693509276018902,1.2761187405742211,0.5635023718959832,5,0.0014074803480659,1.1777147444576608e-05,0.9587121634680468,1.2624535641627372
59,0.0852023661136627,0.0163827165961265,0.0672680810093879,0.0039690849371254,0.1393996328115463,1.7822302653629665,7.05618855380146,3.313269302654847,3.703779459066842,0.1943485991406367,6,0.0008554599927781,1.0297639696859506e-05,0.9522845026037844,1.561982800346718
36,0.0782498270273208,0.017463719472289,0.0585059188306331,0.0095424428582191,0.1217837557196617,3.1828642330306818,3.5516753336372195,3.176968788884886,1.2506085730951708,0.9392444127842364,4,0.0013999071523842,4.701469353747517e-06,0.9588001980928212,1.4542146111025458
44,0.1023450717329979,0.0178340915590524,0.0915417894721031,0.0058958660811185,0.0707173496484756,0.1677412798409228,7.342046626244526,0.0558566371032653,1.8076213045875669,8.568805980021637,5,0.001106205165915,3.989404530040333e-06,0.964645231318195,1.1961064014731462
37,0.0854712054133415,0.0190314203500747,0.0835020989179611,0.0045665600337088,0.1265360414981842,1.9708778953525463,7.112692737919158,4.883075167709844,3.8313021558972378,0.7122903545182337,4,0.0021890863181207,1.613475644997936e-06,0.9604321421629596,1.7833688814929136
35,0.0765156522393226,0.0204664338380098,0.1324460059404373,0.0058629531413316,0.1101960018277168,4.133120774237564,2.3265557210054317,0.0790845797628436,3.677353920438607,1.3685904574388266,3,0.0017372560095928,5.927916570253613e-06,0.9657590262609104,2.2852128363537583
34,0.0801519900560379,0.0272534824907779,0.1024945825338363,0.0038559611421078,0.0883877724409103,2.116628463156061,3.658223395135432,0.1958997569129037,4.724295050752197,3.4042431861093005,6,0.000504015165651,1.3230427462395256e-05,0.9589371208722663,1.9078429512722022
47,0.0831289514899253,0.0276863705366849,0.086601622402668,0.0254171192646026,0.1094413325190544,1.7657569315350972,1.4470088079510852,5.011586568051663,0.3474179225586043,0.9372402658453564,4,0.0015020296312031,1.021290997377064e-05,0.9511642102198314,3.033954894309412
